"ags"; "name"                    "einwohner"; "flaeche";  "fahrradHaushalt"
01;    "Schleswig-Holstein";     2828986;     15799;      88
02;    "Hamburg";                1774000;     755;        75
03;    "Niedersachsen";          7997000;     47624;      90
04;    "Bremen";                 663000;      404;        85
05;    "Nordrhein-Westfalen";    17996621;    34085.27;   81
06;    "Hessen";                 6067021;     21115;      78
07;    "Rheinland-Pfalz";        4059604;     19853;      78
08;    "Baden-Württemberg";      10739000;    35752;      82
09;    "Bayern";                 12488000;    70552;      87
10;    "Saarland";               1050000;     2569;       71
11;    "Berlin";                 3420786;     891.85;     74
12;    "Brandenburg";            2559000;     29479;      91
13;    "Mecklenburg-Vorpommern"; 1707000;     23180;      86
14;    "Sachsen";                4250000;     18416;      76
15;    "Sachsen-Anhalt";         2470000;     20446;      83
16;    "Thüringen";              2335000;     16172;      69
